MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
975,LIVERPOOL,4,06-18-1846,197
976,BALTIC,58,06-17-1846,5
977,PLANTER,148,06-18-1846,1
979,RELIANCE,71,09-07-1846,2
980,SOUTH CAROLINA,4,09-07-1846,62
981,MEDIATOR,61,09-10-1846,35
982,ISABELLA,4,09-11-1846,132
984,HELEN,4,09-11-1846,234
986,ROCHESTER,4,09-11-1846,52
987,MARY HARRINGTON,3,06-02-1846,177
988,STEPHEN WHITNEY,4,08-10-1846,265
989,HARRIET AND JESSIE,4,06-19-1846,132
990,ARABIAN,4,06-19-1846,213
992,JOHN GARROW,4,06-02-1846,225
993,ALERT,46,06-03-1846,135
995,OCEAN QUEEN,4,08-10-1846,268
996,WASHINGTON,4,06-02-1846,289
997,GREAT WESTERN,4,08-10-1846,3
998,VICTORIA,61,06-02-1846,4
1000,EVANDER,144,07-01-1846,1
1001,LORD ASHBURTON,4,07-02-1846,322
1003,EMMANUEL,4,06-03-1846,172
1004,WAVE,59,05-11-1846,203
1005,GEORGIA,4,05-11-1846,138
1006,NORTHUMBERLAND,61,08-12-1846,78
1008,HELEN THOMPSON,4,06-03-1846,180
1009,LETITIA HEYES,4,05-15-1846,128
1010,LIBERTY,4,09-11-1846,79
1011,TAROLINTA,6,09-11-1846,9
1012,CAMBRIDGE,4,09-12-1846,149
1013,PLATO,4,05-15-1846,35
1014,MESSENGER,152,05-15-1846,4
1016,HENRIETTA MARY,4,05-15-1846,311
1017,ALVERTON,4,09-12-1846,119
1018,QUEBEC,61,09-14-1846,46
1019,HAYTI,230,06-04-1846,2
1020,ENVOY,4,06-04-1846,225
1021,SILAS HOLMES,4,09-14-1846,193
1022,VIRGINIAN,4,05-15-1846,218
1023,CHAOS,4,08-12-1846,73
1026,WILLIAM CALDWELL,70,09-16-1846,1
1029,ELIAZBETH,4,05-16-1846,231
1030,GARRICK,4,09-16-1846,226
1031,QUEEN VICTORIA,142,05-16-1846,14
1033,VICTORIA,4,05-18-1846,240
1034,CORNET,4,05-18-1846,282
1035,PERSEVERENCE,59,05-18-1846,210
1036,CLARENCE,35,05-19-1846,100
1037,HANNAH KERR,4,06-20-1846,236
1038,HENDRIK HUDSON,61,06-20-1846,48
1039,MONTEZUMA,4,09-17-1846,273
1040,QUEEN OF THE WEST,4,08-12-1846,170
1041,ST. GEORGE,4,12-02-1846,222
1042,CATHERINE,4,09-17-1846,31
1043,MACON,4,09-18-1846,170
1044,SARDINIA,4,05-20-1846,188
1045,EMILY,48,05-20-1846,7
1046,LIBERTY,46,05-21-1846,275
1047,GRAMPION,4,05-22-1846,274
1049,WARD CHIPMAN,4,08-12-1846,273
1051,ANAHUAC,42,06-04-1846,2
1052,ALMANDRALNA,154,06-05-1846,1
1053,MESSENGER,4,06-05-1846,236
1054,CHARLOTTE,59,05-21-1846,224
1055,HENRY PRATT,4,05-23-1846,235
1057,ROBERT PARKS,4,05-25-1846,193
1058,MARMION,4,05-25-1846,244
1059,NEW YORK PACKET,70,06-06-1846,6
1062,ASHBURTON,4,06-22-1846,339
1064,INDEPENDENCE,4,05-26-1846,236
1065,ENGLAND,4,05-26-1846,288
1066,CONSTITUTION,4,08-13-1846,186
1067,DORCAS,134,12-03-1846,2
1068,WESTMINSTER,61,12-04-1846,23
1069,AMERICAS,4,12-04-1846,30
1070,SEA,4,12-08-1846,237
1074,GREENOCK,4,08-18-1846,288
1075,JOSEPH CUNARD,4,06-23-1846,277
1076,ADAM CARR,6,06-23-1846,26
1077,KATE,35,05-28-1846,85
