Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
37263,AMSTERDAM,27,4/16/1883 0:00:00
37264,GERMANIC,4,4/16/1883 0:00:00
37265,CURACAO,196,5/14/1883 0:00:00
37266,SPAIN,80,4/16/1883 0:00:00
37267,DE RUYTER,22,4/17/1883 0:00:00
37268,CITY OF MERIDA,140,4/17/1883 0:00:00
37269,FURNESSIA,91,4/17/1883 0:00:00
37270,STATE OF NEBRASKA,82,4/19/1883 0:00:00
37271,RHAETIA,93,4/19/1883 0:00:00
37272,POLARIA,23,4/20/1883 0:00:00
37273,ADRIATIC,80,4/20/1883 0:00:00
37274,LAKE MANITOBA,80,4/20/1883 0:00:00
37275,ODER,94,4/21/1883 0:00:00
37276,FULDA,14,4/21/1883 0:00:00
37277,SUEVIA,23,4/23/1883 0:00:00
37278,HERMANN,22,4/23/1883 0:00:00
37279,CITY OF BERLIN,80,4/23/1883 0:00:00
37280,FLAMBOROUGH,198,4/23/1883 0:00:00
37281,IMBROS,29,4/23/1883 0:00:00
37282,THINGVALLA,703,4/23/1883 0:00:00
37283,MAAS,15,4/23/1883 0:00:00
37284,ITALY,80,4/23/1883 0:00:00
37285,CITY OF PUEBLA,140,4/25/1883 0:00:00
37286,PAVONIA,80,4/26/1883 0:00:00
37287,RHEIN,94,4/30/1883 0:00:00
37288,STATE OF NEVADA,82,4/30/1883 0:00:00
37289,EGYPT,4,4/30/1883 0:00:00
37290,BOLIVIA,91,4/30/1883 0:00:00
37291,CITY OF PARIS,80,4/30/1883 0:00:00
37292,KAETIE,741,5/1/1883 0:00:00
37293,SERVIA,4,5/1/1883 0:00:00
37294,OHIO,14,5/1/1883 0:00:00
37295,DEVONIA,91,5/1/1883 0:00:00
37296,GELLERT,93,5/1/1883 0:00:00
37297,NIAGARA,17,5/1/1883 0:00:00
37298,SALIER,94,5/2/1883 0:00:00
37299,GREECE,61,5/2/1883 0:00:00
37300,WAESLAND,22,5/4/1883 0:00:00
37301,PLANTYN,22,5/4/1883 0:00:00
37302,HEIMDAL,720,5/4/1883 0:00:00
37303,POLYNESIA,23,5/4/1883 0:00:00
37304,REPUBLIC,80,5/5/1883 0:00:00
37305,STATE OF ALABAMA,82,5/5/1883 0:00:00
37306,W A SCHOLTEN,15,5/5/1883 0:00:00
37307,MAIN,14,5/7/1883 0:00:00
37308,NUERNBERG,94,5/7/1883 0:00:00
37309,HERMANN,14,5/7/1883 0:00:00
37310,RUGIA,23,5/7/1883 0:00:00
37311,ENGLAND,80,5/7/1883 0:00:00
37312,CIRCASSIA,91,5/8/1883 0:00:00
37313,WESTPHALIA,93,5/8/1883 0:00:00
37314,SCYTHIA,80,5/9/1883 0:00:00
37315,ST. OF PENNSYLVANIA,82,5/11/1883 0:00:00
37316,ELBE,94,5/12/1883 0:00:00
37317,DONAU,14,5/12/1883 0:00:00
37318,CITY OF CHESTER,80,5/12/1883 0:00:00
37319,AUSTRALIA,23,5/14/1883 0:00:00
37320,CELTIC,80,5/11/1883 0:00:00
37321,HELVETIA,80,5/14/1883 0:00:00
37322,NEDERLAND,22,5/14/1883 0:00:00
37323,SILESIA,93,5/14/1883 0:00:00
37324,LEERDAM,15,5/14/1883 0:00:00
37325,ETHIOPIA,91,5/16/1883 0:00:00
37326,FRISIA,93,5/16/1883 0:00:00
37327,STATE OF FLORIDA,82,5/18/1883 0:00:00
37328,ISLAND,703,5/18/1883 0:00:00
37329,PARTHIA,80,5/18/1883 0:00:00
37330,FULDA,14,5/19/1883 0:00:00
37331,THALER,42,5/19/1883 0:00:00
37332,NECKAR,14,5/19/1883 0:00:00
37333,EGYPTIAN MONARCH,61,5/19/1883 0:00:00
37334,SPAIN,80,5/21/1883 0:00:00
37335,FURNESSIA,80,5/21/1883 0:00:00
37336,ROTTERDAM,15,5/21/1883 0:00:00
37337,CITY OF RICHMOND,80,5/21/1883 0:00:00
37338,ARIZONA,80,5/22/1883 0:00:00
37339,ERIN,61,5/25/1883 0:00:00
37340,HOHENZOLLERN,14,5/23/1883 0:00:00
37341,ANCHORIA,6,5/23/1883 0:00:00
37342,BOTHNIA,80,5/23/1883 0:00:00
37343,WIELAND,23,5/23/1883 0:00:00
37344,STATE OF GEORGIA,82,5/24/1883 0:00:00
37345,ODER,94,5/25/1883 0:00:00
37346,PENNLAND,22,5/23/1883 0:00:00
37347,STARLIGHT,230,5/26/1883 0:00:00
37348,CALIFORNIA,23,5/23/1883 0:00:00
37349,ZAANDAM,27,5/26/1883 0:00:00
37350,WERRA,14,5/26/1883 0:00:00
37351,PAVONIA,80,5/30/1883 0:00:00
37352,BELIZE,71,5/31/1883 0:00:00
37353,SUEVIA,23,5/31/1883 0:00:00
37354,STATE OF NEBRASKA,6,5/31/1883 0:00:00
37355,CITY OF ROME,4,6/1/1883 0:00:00
37356,BOLIVIA,91,6/2/1883 0:00:00
37357,P. CALAND,15,6/2/1883 0:00:00
37358,RHEIN,14,6/2/1883 0:00:00
37359,GEISER,720,6/2/1883 0:00:00
37360,ARCHIMEDES,42,6/4/1883 0:00:00
37361,CITY OF PARIS,80,6/4/1883 0:00:00
37362,CITY OF BERLIN,4,6/4/1883 0:00:00
37363,MAIN,14,6/5/1883 0:00:00
37364,VALENCIA,196,6/5/1883 0:00:00
37365,SERVIA,4,6/5/1883 0:00:00
37366,CITY OF ALEXANDRIA,689,6/6/1883 0:00:00
37367,INDIA,23,6/6/1883 0:00:00
37368,WYOMING,82,6/6/1883 0:00:00
37369,DEVONIA,91,6/6/1883 0:00:00
37370,STATE OF NEVADA,82,6/8/1883 0:00:00
37371,ELBE,94,6/9/1883 0:00:00
37372,BRITANNIC,4,6/11/1883 0:00:00
37373,RHAETIA,93,6/11/1883 0:00:00
37374,SALIER,14,6/11/1883 0:00:00
37376,SWITZERLAND,22,6/11/1883 0:00:00
37377,ALASKA,80,6/11/1883 0:00:00
37378,BELGRAVIA,748,6/12/1883 0:00:00
37379,CIRCASSIA,91,6/12/1883 0:00:00
37380,NIAGARA,17,6/12/1883 0:00:00
37381,SCYTHIA,80,6/12/1883 0:00:00
37382,ENGLAND,80,6/12/1883 0:00:00
37383,GELLERT,93,6/12/1883 0:00:00
37384,POLARIA,23,6/13/1883 0:00:00
37385,WAESLAND,22,6/14/1883 0:00:00
37386,DENMARK,61,6/14/1883 0:00:00
37387,STATE OF INDIANA,82,6/15/1883 0:00:00
37388,AMSTERDAM,27,6/15/1883 0:00:00
37389,FULDA,14,6/16/1883 0:00:00
37390,HABSBURG,14,6/16/1883 0:00:00
37391,NEWPORT,17,6/18/1883 0:00:00
37392,CITY OF CHESTER,80,6/18/1883 0:00:00
37393,GALLIA,82,6/18/1883 0:00:00
37394,WESTPHALIA,93,6/19/1883 0:00:00
37395,GRECIAN MONARCH,61,6/20/1883 0:00:00
37396,ETHIOPIA,4,6/21/1883 0:00:00
37397,ST. OF PENNSYLVANIA,82,6/21/1883 0:00:00
37398,THINGVALLA,703,6/21/1883 0:00:00
37399,PLANTYN,22,6/21/1883 0:00:00
37400,POLYNESIA,23,6/22/1883 0:00:00
37401,DONAU,14,6/23/1883 0:00:00
37402,RUGIA,23,6/23/1883 0:00:00
37403,SCHIEDAM,27,6/23/1883 0:00:00
37404,WERRA,14,6/23/1883 0:00:00
37405,CITY OF RICHMOND,80,6/23/1883 0:00:00
37406,NEDERLAND,22,6/23/1883 0:00:00
37407,ANCHORIA,6,6/25/1883 0:00:00
37408,FURNESSIA,748,6/25/1883 0:00:00
37409,GERMANIC,80,6/25/1883 0:00:00
37410,ARIZONA,80,6/25/1883 0:00:00
37411,SPAIN,80,6/25/1883 0:00:00
37412,GREECE,61,6/26/1883 0:00:00
37413,FRISIA,93,6/26/1883 0:00:00
37414,BOTHNIA,80,6/27/1883 0:00:00
37415,LEA,503,6/28/1883 0:00:00
37416,STATE OF FLORIDA,82,6/29/1883 0:00:00
37417,ATHOS,71,6/30/1883 0:00:00
37418,NECKAR,14,6/30/1883 0:00:00
37419,ADRIATIC,80,6/30/1883 0:00:00
37420,W A SCHOLTEN,15,6/30/1883 0:00:00
37421,HEIMDAL,720,6/29/1883 0:00:00
37422,THE QUEEN,4,7/2/1883 0:00:00
37423,CITY OF BERLIN,4,7/2/1883 0:00:00
37424,LESSING,93,7/5/1883 0:00:00
37425,AUSTRALIA,23,7/6/1883 0:00:00
37426,MAIN,14,7/7/1883 0:00:00
37427,WYOMING,80,7/10/1883 0:00:00
37428,LYDIAN MONARCH,61,7/11/1883 0:00:00
37429,STATE OF NEBRASKA,82,7/11/1883 0:00:00
37430,CALIFORNIA,23,7/13/1883 0:00:00
37431,SUEVIA,23,7/13/1883 0:00:00
37432,SILESIA,23,7/16/1883 0:00:00
37433,ENGLAND,80,7/17/1883 0:00:00
37434,HAMMONIA,93,7/18/1883 0:00:00
37435,STATE OF NEVADA,82,7/18/1883 0:00:00
37436,BOHEMIA,93,7/23/1883 0:00:00
37437,GENERAL WERDER,14,7/23/1883 0:00:00
37438,GELLERT,93,7/24/1883 0:00:00
37439,PERSIAN MONARCH,61,7/25/1883 0:00:00
37440,STATE OF INDIANA,82,7/26/1883 0:00:00
37441,WAESLAND,22,7/26/1883 0:00:00
37442,RHAETIA,93,7/28/1883 0:00:00
37443,SPAIN,80,7/28/1883 0:00:00
37444,FURNESSIA,80,7/30/1883 0:00:00
37445,WESTPHALIA,93,7/31/1883 0:00:00
37446,BOHEMIA,93,6/5/1883 0:00:00
37447,HAMMONIA,23,6/5/1883 0:00:00
37448,POLARIA,23,8/2/1883 0:00:00
37449,ST. OF PENNSYLVANIA,82,8/3/1883 0:00:00
37450,CITY OF BERLIN,4,8/6/1883 0:00:00
37451,FRISIA,93,8/7/1883 0:00:00
37452,STATE OF FLORIDA,82,8/8/1883 0:00:00
37453,ABYSSINIA,80,8/8/1883 0:00:00
37454,RHYNLAND,22,8/10/1883 0:00:00
37455,RUGIA,23,8/11/1883 0:00:00
37456,LESSING,93,8/14/1883 0:00:00
37457,INDIA,23,8/16/1883 0:00:00
37458,PENNLAND,22,8/16/1883 0:00:00
37459,STATE OF NEBRASKA,82,8/22/1883 0:00:00
37460,POLYNESIA,23,8/25/1883 0:00:00
37461,SILESIA,93,8/27/1883 0:00:00
37462,AUSTRALIA,23,8/31/1883 0:00:00
37463,FRANCE,61,6/6/1883 0:00:00
37464,FURNESSIA,80,9/3/1883 0:00:00
37465,GELLERT,93,9/5/1883 0:00:00
37466,STATE OF INDIANA,82,9/6/1883 0:00:00
37467,CALIFORNIA,23,9/7/1883 0:00:00
37468,BOHEMIA,23,9/10/1883 0:00:00
37469,WESTPHALIA,93,9/11/1883 0:00:00
37470,ENGLAND,80,9/11/1883 0:00:00
37471,BOLIVIA,91,9/13/1883 0:00:00
37472,ST. OF PENNSYLVANIA,82,9/14/1883 0:00:00
37473,RHAETIA,93,9/18/1883 0:00:00
37474,GRECIAN MONARCH,61,9/19/1883 0:00:00
37475,STATE OF FLORIDA,82,9/20/1883 0:00:00
37476,RHYNLAND,22,9/21/1883 0:00:00
37477,ELBE,94,9/22/1883 0:00:00
37478,RICHMOND HILL,61,9/25/1883 0:00:00
37479,RUGIA,23,9/25/1883 0:00:00
37480,POLARIA,23,9/26/1883 0:00:00
37481,RHEIN,94,9/29/1883 0:00:00
37482,FULDA,14,9/30/1883 0:00:00
37483,HELVETIA,80,10/1/1883 0:00:00
37484,CELTIC,80,10/1/1883 0:00:00
37485,LYDIAN MONARCH,61,10/1/1883 0:00:00
37486,ETHIOPIA,91,10/3/1883 0:00:00
37487,STATE OF NEBRASKA,82,10/3/1883 0:00:00
37488,CITY OF RICHMOND,4,10/6/1883 0:00:00
37489,SPAIN,80,10/8/1883 0:00:00
37491,SALIER,14,10/8/1883 0:00:00
37492,SILESIA,93,10/8/1883 0:00:00
37493,FURNESSIA,80,10/8/1883 0:00:00
37494,HAMMONIA,23,10/9/1883 0:00:00
37495,ANCHORIA,6,10/9/1883 0:00:00
37496,ASSYRIAN MONARCH,61,10/10/1883 0:00:00
37497,STATE OF NEVADA,82,10/11/1883 0:00:00
37498,SWITZERLAND,22,10/12/1883 0:00:00
37499,INDIA,23,10/12/1883 0:00:00
37500,DONAU,14,10/13/1883 0:00:00
37501,CITY OF NEVADA,618,10/13/1883 0:00:00
37502,CITY OF BERLIN,80,10/15/1883 0:00:00
37503,LESSING,93,10/16/1883 0:00:00
37504,BOLIVIA,91,10/16/1883 0:00:00
37505,PAVONIA,80,10/17/1883 0:00:00
37506,PERSIAN MONARCH,61,10/18/1883 0:00:00
37507,WAESLAND,22,10/18/1883 0:00:00
37508,STATE OF INDIANA,82,10/18/1883 0:00:00
37509,CITY OF ROME,80,10/19/1883 0:00:00
37510,ELBE,94,10/20/1883 0:00:00
37511,NECKAR,14,10/20/1883 0:00:00
37512,MONTREAL,80,10/22/1883 0:00:00
37513,WESTPHALIA,23,10/23/1883 0:00:00
37514,DEVONIA,91,10/23/1883 0:00:00
37515,HEIMDAL,720,10/23/1883 0:00:00
37516,POLYNESIA,23,10/25/1883 0:00:00
37517,BOHEMIA,23,10/29/1883 0:00:00
37518,CITY OF CHESTER,80,10/29/1883 0:00:00
37519,ODER,94,10/29/1883 0:00:00
37520,NEDERLAND,22,10/29/1883 0:00:00
37521,THE QUEEN,4,10/29/1883 0:00:00
37522,AUSTRALIA,23,10/30/1883 0:00:00
37523,MAASDAM,15,10/30/1883 0:00:00
37524,GELLERT,93,11/1/1883 0:00:00
37525,STATE OF FLORIDA,82,11/2/1883 0:00:00
37526,GRECIAN MONARCH,61,11/1/1883 0:00:00
37527,MAIN,14,11/3/1883 0:00:00
37528,P. CALAND,15,11/3/1883 0:00:00
37529,CITY OF CHICAGO,80,11/5/1883 0:00:00
37530,FRISIA,93,11/5/1883 0:00:00
37531,RHAETIA,23,11/5/1883 0:00:00
37532,GALLIA,80,11/7/1883 0:00:00
37533,FRANCE,61,11/7/1883 0:00:00
37534,STATE OF GEORGIA,82,11/9/1883 0:00:00
37535,GENERAL WERDER,14,11/12/1883 0:00:00
37536,GERMANIC,4,11/12/1883 0:00:00
37537,WESTERNLAND,22,11/17/1883 0:00:00
37538,RUGIA,23,11/17/1883 0:00:00
37539,STATE OF NEBRASKA,6,11/17/1883 0:00:00
37540,CALIFORNIA,23,11/19/1883 0:00:00
37541,SILESIA,23,11/20/1883 0:00:00
37542,GREECE,61,11/21/1883 0:00:00
37543,HABSBURG,14,11/22/1883 0:00:00
37544,HAMMONIA,23,11/22/1883 0:00:00
37545,PAVONIA,80,11/22/1883 0:00:00
37546,BOLIVIA,91,11/23/1883 0:00:00
37547,ASSYRIAN MONARCH,61,11/26/1883 0:00:00
37548,DONAU,14,11/26/1883 0:00:00
37549,FULDA,14,11/26/1883 0:00:00
37550,ENGLAND,80,11/27/1883 0:00:00
37551,CITY OF MONTREAL,4,11/27/1883 0:00:00
37552,LESSING,93,11/28/1883 0:00:00
37553,POLARIA,23,11/28/1883 0:00:00
37554,DEVONIA,6,12/1/1883 0:00:00
37555,NECKAR,14,12/3/1883 0:00:00
37556,STATE OF INDIANA,82,12/3/1883 0:00:00
37557,CITY OF CHESTER,80,12/3/1883 0:00:00
37558,ODER,94,12/4/1883 0:00:00
37559,WAESLAND,22,12/4/1883 0:00:00
37560,PERSIAN MONARCH,61,12/4/1883 0:00:00
37561,MORAVIA,93,12/5/1883 0:00:00
37562,WESTPHALIA,93,12/5/1883 0:00:00
37563,CIRCASSIA,91,12/5/1883 0:00:00
37564,MAIN,14,12/8/1883 0:00:00
37565,CITY OF CHICAGO,80,12/8/1883 0:00:00
37566,THE QUEEN,4,12/10/1883 0:00:00
37567,GELLERT,93,12/11/1883 0:00:00
37568,INDIA,23,12/12/1883 0:00:00
37569,ERIN,61,12/12/1883 0:00:00
37570,STATE OF GEORGIA,82,12/13/1883 0:00:00
37571,LAKE HURON,4,12/13/1883 0:00:00
37572,ETHIOPIA,91,12/14/1883 0:00:00
37573,GRECIAN MONARCH,61,12/14/1883 0:00:00
37574,RHEIN,14,12/15/1883 0:00:00
37575,ELBE,14,12/17/1883 0:00:00
37576,BOHEMIA,93,12/18/1883 0:00:00
37577,ARIZONA,80,12/18/1883 0:00:00
37578,BOTHNIA,4,12/20/1883 0:00:00
37579,RHAETIA,93,12/21/1883 0:00:00
37580,POLYNESIA,23,12/22/1883 0:00:00
37581,FLORIDA,6,12/22/1883 0:00:00
37582,GENERAL WERDER,14,12/24/1883 0:00:00
37583,CITY OF BERLIN,80,12/24/1883 0:00:00
37584,HELVETIA,80,12/26/1883 0:00:00
37585,WIELAND,23,12/27/1883 0:00:00
37586,SLAVONIA,80,12/27/1883 0:00:00
37587,STATE OF NEBRASKA,6,12/31/1883 0:00:00
37588,BELGRAVIA,91,12/28/1883 0:00:00
37589,WYOMING,80,1/2/1884 0:00:00
37590,AUSTRALIA,23,1/2/1884 0:00:00
37591,LYDIAN MONARCH,61,1/2/1884 0:00:00
37592,GALLIA,80,1/2/1884 0:00:00
37593,AMERIQUE,16,1/3/1884 0:00:00
37594,RUGIA,23,1/3/1884 0:00:00
37595,P. CALAND,15,1/4/1884 0:00:00
37596,SWITZERLAND,22,1/7/1884 0:00:00
37597,CITY OF CHESTER,80,1/4/1884 0:00:00
37598,CALIFORNIA,23,1/8/1884 0:00:00
37599,NECKAR,14,1/9/1884 0:00:00
37600,CANADA,16,1/10/1884 0:00:00
37601,STATE OF INDIANA,6,1/12/1884 0:00:00
37602,ASSYRIAN MONARCH,61,1/12/1884 0:00:00
37603,CITY OF PARA,322,1/14/1884 0:00:00
37604,FRISIA,23,1/14/1884 0:00:00
37605,CITY OF CHICAGO,80,1/14/1884 0:00:00
37606,KATIE,121,1/16/1884 0:00:00
37607,CEPHALONIA,80,1/18/1884 0:00:00
37608,LESSING,23,1/21/1884 0:00:00
37609,PERSIAN MONARCH,61,1/21/1884 0:00:00
37610,SALIER,14,1/22/1884 0:00:00
37611,BOTHNIA,4,1/23/1884 0:00:00
37612,WESTPHALIA,93,1/23/1884 0:00:00
37613,BELGENLAND,22,1/24/1884 0:00:00
37614,CIRCASSIA,91,1/17/1884 0:00:00
37615,ACAPULCO,722,1/26/1884 0:00:00
37616,GELLERT,23,1/29/1884 0:00:00
37617,POLARIA,23,1/29/1884 0:00:00
37618,GENERAL WERDER,14,1/31/1884 0:00:00
37619,PAVONIA,80,2/1/1884 0:00:00
37620,GRECIAN MONARCH,61,2/2/1884 0:00:00
37621,INDIA,23,2/5/1884 0:00:00
37622,GALLIA,4,2/6/1884 0:00:00
37623,RHAETIA,93,2/8/1884 0:00:00
37624,WESTERNLAND,22,2/8/1884 0:00:00
37625,MORAVIA,23,2/11/1884 0:00:00
37626,RUGIA,23,2/13/1884 0:00:00
37627,STATE OF NEBRASKA,82,2/12/1884 0:00:00
37628,HABSBURG,14,2/13/1884 0:00:00
37629,NECKAR,14,2/13/1884 0:00:00
37630,LYDIAN MONARCH,61,2/14/1884 0:00:00
37631,CITY OF CHESTER,4,2/11/1884 0:00:00
37632,POLYNESIA,23,2/15/1884 0:00:00
37633,DEVONIA,91,2/18/1884 0:00:00
37634,WIELAND,23,2/19/1884 0:00:00
37635,FRISIA,23,2/20/1884 0:00:00
37636,ODER,94,2/19/1884 0:00:00
37637,CEPHALONIA,80,2/23/1884 0:00:00
37638,SALIER,14,2/25/1884 0:00:00
37639,EGYPTIAN MONARCH,61,2/25/1884 0:00:00
37640,HELVETIA,4,2/27/1884 0:00:00
37641,CITY OF MERIDA,140,2/28/1884 0:00:00
37642,ASSYRIAN MONARCH,61,2/28/1884 0:00:00
37643,HOHENSTAUFEN,14,2/28/1884 0:00:00
37644,BOHEMIA,23,2/29/1884 0:00:00
37645,CALIFORNIA,23,3/3/1884 0:00:00
37646,RHEIN,94,3/3/1884 0:00:00
37647,LESSING,93,3/4/1884 0:00:00
37648,STATE OF INDIANA,6,3/4/1884 0:00:00
37649,CATALONIA,4,3/6/1884 0:00:00
37650,WESTPHALIA,23,3/6/1884 0:00:00
37651,PAVONIA,80,3/7/1884 0:00:00
37652,STATE OF GEORGIA,82,3/8/1884 0:00:00
37653,WESER,14,3/10/1884 0:00:00
37654,BELGENLAND,22,3/10/1884 0:00:00
37655,PERSIAN MONARCH,61,3/10/1884 0:00:00
37656,SCHIEDAM,15,12/10/1883 0:00:00
37657,BRITANNIC,80,3/10/1884 0:00:00
37658,THE QUEEN,80,3/11/1884 0:00:00
37659,CITY OF MONTREAL,4,3/11/1884 0:00:00
37660,GELLERT,23,3/12/1884 0:00:00
37661,GALLIA,80,3/12/1884 0:00:00
37662,FURNESSIA,91,3/13/1884 0:00:00
37663,NUERNBERG,14,3/13/1884 0:00:00
37664,DONAU,14,3/15/1884 0:00:00
37665,WERRA,14,3/17/1884 0:00:00
37666,REPUBLIC,80,3/17/1884 0:00:00
37667,GRECIAN MONARCH,61,3/17/1884 0:00:00
37668,AUSTRALIA,23,3/20/1884 0:00:00
37669,RHAETIA,23,3/21/1884 0:00:00
37670,BOTHNIA,4,3/21/1884 0:00:00
37671,BOLIVIA,91,3/22/1884 0:00:00
37672,FULDA,14,3/24/1884 0:00:00
37673,STATE OF NEBRASKA,82,3/24/1884 0:00:00
37674,CITY OF CHICAGO,80,3/26/1884 0:00:00
37675,MORAVIA,23,3/27/1884 0:00:00
37676,ENGLAND,80,3/27/1884 0:00:00
37677,DEVONIA,91,3/27/1884 0:00:00
37678,ODER,14,3/28/1884 0:00:00
37679,LYDIAN MONARCH,61,3/29/1884 0:00:00
37680,EIDER,320,3/31/1884 0:00:00
37681,POLARIA,23,3/31/1884 0:00:00
37682,WIELAND,23,3/31/1884 0:00:00
37683,SWITZERLAND,22,3/31/1884 0:00:00
37684,CITY OF RICHMOND,4,3/31/1884 0:00:00
37685,SCHIEDAM,15,4/1/1884 0:00:00
37686,SERVIA,4,4/1/1884 0:00:00
37687,RUGIA,23,4/2/1884 0:00:00
37688,FRANCE,61,4/3/1884 0:00:00
37689,SALIER,14,4/4/1884 0:00:00
37690,ELBE,14,4/5/1884 0:00:00
37691,SPAIN,80,4/7/1884 0:00:00
37692,EGYPTIAN MONARCH,61,4/7/1884 0:00:00
37693,HAMMONIA,93,4/7/1884 0:00:00
37694,FRISIA,23,4/8/1884 0:00:00
37695,INDIA,23,4/8/1884 0:00:00
37696,LA NORMANDIE,16,4/8/1884 0:00:00
37697,SCYTHIA,80,4/9/1884 0:00:00
37698,ANCHORIA,6,4/10/1884 0:00:00
37699,ST. OF PENNSYLVANIA,82,4/11/1884 0:00:00
37700,ERIN,61,4/11/1884 0:00:00
37701,VALENCIA,624,4/12/1884 0:00:00
37702,LESSING,93,4/12/1884 0:00:00
37703,NOORDLAND,22,4/12/1884 0:00:00
37704,CITY OF MONTREAL,80,4/14/1884 0:00:00
37705,ASSYRIAN MONARCH,61,4/14/1884 0:00:00
37706,CIRCASSIA,91,4/16/1884 0:00:00
37707,BOHEMIA,23,4/18/1884 0:00:00
37708,FULDA,14,4/19/1884 0:00:00
37709,HOHENSTAUFEN,14,4/19/1884 0:00:00
37710,GALLIA,4,4/19/1884 0:00:00
37711,POLYNESIA,23,4/21/1884 0:00:00
37712,GELLERT,93,4/21/1884 0:00:00
37713,CITY OF CHESTER,80,4/21/1884 0:00:00
37714,AURANIA,80,4/21/1884 0:00:00
37715,NEVADA,4,4/21/1884 0:00:00
37716,WESTPHALIA,23,4/22/1884 0:00:00
37717,FURNESSIA,91,4/22/1884 0:00:00
37718,CALIFORNIA,23,4/24/1884 0:00:00
37719,EIDER,94,4/25/1884 0:00:00
37720,AUSTRALIA,4,4/28/1884 0:00:00
37721,GRECIAN MONARCH,61,4/30/1884 0:00:00
37722,RHAETIA,23,4/30/1884 0:00:00
37723,HOLLAND,61,5/1/1884 0:00:00
37724,NECKAR,14,5/2/1884 0:00:00
37725,WIELAND,23,5/2/1884 0:00:00
37726,CITY OF RICHMOND,80,5/2/1884 0:00:00
37727,SERVIA,4,5/5/1884 0:00:00
37728,MORAVIA,23,5/6/1884 0:00:00
37729,ELBE,14,5/6/1884 0:00:00
37730,DEVONIA,91,5/7/1884 0:00:00
37731,ODER,14,5/9/1884 0:00:00
37732,AMERICA,14,5/9/1884 0:00:00
37733,AUSTRALIA,23,5/12/1884 0:00:00
37734,WERRA,14,5/12/1884 0:00:00
37735,LYDIAN MONARCH,61,5/12/1884 0:00:00
37736,CITY OF ROME,4,5/12/1884 0:00:00
37737,CITY OF BERLIN,80,5/12/1884 0:00:00
37738,NEWPORT,17,5/12/1884 0:00:00
37739,SPAIN,80,5/13/1884 0:00:00
37740,SCYTHIA,80,5/14/1884 0:00:00
37741,RUGIA,23,5/15/1884 0:00:00
37742,KATIE,121,5/16/1884 0:00:00
37743,MAIN,14,5/16/1884 0:00:00
37744,ST. OF PENNSYLVANIA,82,5/16/1884 0:00:00
37745,FULDA,14,5/17/1884 0:00:00
37746,HAMMONIA,93,5/19/1884 0:00:00
37747,CITY OF MONTREAL,80,5/19/1884 0:00:00
37748,FRISIA,23,5/20/1884 0:00:00
37749,GALLIA,80,5/21/1884 0:00:00
37750,HELVETIA,4,5/21/1884 0:00:00
37751,ERIN,61,5/22/1884 0:00:00
37752,CIRCASSIA,91,5/22/1884 0:00:00
37753,THOMAS J. MAY,555,5/22/1884 0:00:00
37754,STATE OF GEORGIA,82,5/23/1884 0:00:00
37755,EIDER,94,5/24/1884 0:00:00
37756,POLARIA,23,5/25/1884 0:00:00
37757,ASSYRIAN MONARCH,61,5/26/1884 0:00:00
37758,AURANIA,80,5/26/1884 0:00:00
37759,SCHIEDAM,27,5/26/1884 0:00:00
37760,EGYPT,4,5/26/1884 0:00:00
37761,LESSING,23,5/27/1884 0:00:00
37762,AUSTRAL,80,5/27/1884 0:00:00
37763,BOHEMIA,23,5/29/1884 0:00:00
37764,RHEIN,14,5/29/1884 0:00:00
37765,BELGENLAND,22,5/29/1884 0:00:00
37766,STATE OF NEVADA,82,5/30/1884 0:00:00
37767,ELBE,14,5/31/1884 0:00:00
37768,ELYSIA,724,5/31/1884 0:00:00
37769,CITY OF CHESTER,80,6/2/1884 0:00:00
37770,INDIA,23,6/2/1884 0:00:00
37771,WESTPHALIA,23,6/2/1884 0:00:00
37772,GELLERT,93,6/3/1884 0:00:00
37773,BOTHNIA,80,6/3/1884 0:00:00
37774,AMERICA,80,6/5/1884 0:00:00
37775,FURNESSIA,723,6/5/1884 0:00:00
37776,NUERNBERG,14,6/5/1884 0:00:00
37777,WESER,14,6/5/1884 0:00:00
37778,CITY OF RICHMOND,4,6/6/1884 0:00:00
37779,WAESLAND,22,6/6/1884 0:00:00
37780,P. CALAND,15,6/6/1884 0:00:00
37781,WERRA,14,6/7/1884 0:00:00
37782,STATE OF NEBRASKA,82,6/9/1884 0:00:00
37783,RHAETIA,23,6/11/1884 0:00:00
37784,GRECIAN MONARCH,61,6/11/1884 0:00:00
37785,BOLIVIA,91,6/11/1884 0:00:00
37786,WISCONSIN,80,6/11/1884 0:00:00
37787,WIELAND,23,6/13/1884 0:00:00
37788,GENERAL WERDER,14,6/13/1884 0:00:00
37789,EMS,14,6/14/1884 0:00:00
37790,POLYNESIA,23,6/14/1884 0:00:00
37791,ISLAND,703,6/14/1884 0:00:00
37792,ENGLAND,80,6/16/1884 0:00:00
37793,SUEVIA,23,6/18/1884 0:00:00
37794,ODER,14,6/19/1884 0:00:00
37795,CALIFORNIA,23,6/19/1884 0:00:00
37796,EIDER,94,6/20/1884 0:00:00
37797,LYDIAN MONARCH,61,6/20/1884 0:00:00
37798,ST. OF PENNSYLVANIA,6,6/20/1884 0:00:00
37799,CITY OF MONTREAL,80,6/21/1884 0:00:00
37800,SPAIN,80,6/23/1884 0:00:00
37801,MORAVIA,23,6/24/1884 0:00:00
